name,radius,mass,ExoRM,Forecaster,ExoRM res,Forecaster res
HAT-P-39 b,1.2457,2.2796,2.595,4.649,0.3154,2.3694
HAT-P-40 b,1.2876,2.2911,2.6375,4.6965,0.34643,2.4055
HAT-P-41 b,1.2762,2.4053,2.624,4.6835,0.21875,2.2782
HAT-P-42 b,1.1568,2.4467,2.582,4.548,0.1353,2.1013
HAT-P-43 b,1.1571,2.323,2.5816,4.5484,0.25852,2.2253
HAT-P-37 b,1.1207,2.57,2.6552,2.0598,0.085255,0.51022
HAT-P-44 b,1.1437,2.0487,2.6016,2.0988,0.55288,0.050097
HAT-P-46 b,1.1581,2.195,2.5804,4.5495,0.38538,2.3545
HAT-P-49 b,1.1997,2.7402,2.5698,4.5967,0.17045,1.8565
HAT-P-50 b,1.1595,2.6325,2.5789,4.5511,0.053632,1.9185
HAT-P-51 b,1.1612,1.9922,2.5772,4.553,0.585,2.5608
HAT-P-52 b,1.0535,2.4144,2.6099,1.9456,0.19548,0.46882
HAT-P-53 b,1.1695,2.6716,2.5705,4.5624,0.10112,1.8908
HAT-P-45 b,1.2037,2.4525,2.5711,4.6012,0.11853,2.1487
HAT-P-36 b,1.1648,2.7698,2.5738,4.5571,0.19604,1.7873
HAT-P-35 b,1.5998,3.3784,3.5403,5.0508,0.16192,1.6724
HAT-P-34 b,1.1277,3.0246,2.6364,2.0716,0.38819,0.95306
HAT-P-19 b,1.053,1.9447,2.6081,1.9449,0.66345,0.0001945
HAT-P-20 b,0.989,3.3655,2.2127,1.8362,1.1529,1.5293
HAT-P-21 b,1.0599,3.101,2.6345,1.9565,0.46653,1.1445
HAT-P-22 b,1.083,2.8342,2.6885,1.9957,0.14574,0.83849
HAT-P-23 b,1.1374,2.8182,2.614,2.088,0.20425,0.73019
HAT-P-24 b,1.1437,2.3379,2.6016,2.0988,0.26373,0.23905
HAT-P-25 b,1.1251,2.2558,2.643,2.0673,0.38729,0.18849
HAT-P-26 b,0.80161,1.273,1.5631,1.518,0.29011,0.24499
HAT-P-27 b,1.058,2.2946,2.6278,1.9534,0.33327,0.34119
HAT-P-28 b,1.1331,2.3063,2.6234,2.0808,0.31704,0.22557
HAT-P-29 b,1.0937,2.3932,2.6946,2.0139,0.30148,0.37923
HAT-P-30 b,1.2166,2.3673,2.5764,4.6159,0.20912,2.2486
HAT-P-31 b,1.0788,2.8388,2.6829,1.9887,0.15598,0.85018
HAT-P-32 b,1.3039,2.4367,2.659,4.715,0.22228,2.2783
HAT-P-33 b,1.2764,2.3841,2.6243,4.6838,0.24016,2.2997
HAT-P-17 b,1.0539,2.2322,2.6117,1.9463,0.37948,0.28584
WASP-188 b,1.1708,2.6615,2.5697,4.5639,0.091771,1.9024
WASP-190 b,1.1103,2.5022,2.6798,2.042,0.17763,0.46015
WASP-186 b,1.0949,3.1275,2.6946,2.0159,0.43295,1.1116
TOI-5301 b,1.1203,3.0645,2.6563,2.0592,0.4082,1.0053
TOI-5232 b,1.1065,2.8714,2.6858,2.0356,0.18558,0.8358
TOI-5218 b,0.99388,2.8176,2.2445,1.8444,0.57308,0.97312
TOI-5205 b,1.0645,2.5353,2.6496,1.9643,0.11431,0.57102
TOI-5153 b,1.0749,3.0154,2.6759,1.982,0.33956,1.0335
TOI-5110 b,1.0785,2.9646,2.6824,1.9882,0.28217,0.9764
TOI-5344 b,1.0255,2.1171,2.4635,1.8981,0.34638,0.21903
TOI-5108 b,0.81954,1.5051,1.5961,1.5485,0.090958,0.043312
TOI-5027 b,1.0318,2.8075,2.5024,1.9089,0.30513,0.89865
TOI-5005 b,0.79588,1.5145,1.5533,1.5083,0.038743,0.0062625
TOI-4994 b,0.93152,1.9494,1.9039,1.7386,0.045438,0.21078
TOI-4914 b,1.1096,2.356,2.681,2.0409,0.325,0.31515
TOI-4860 b,0.93952,1.938,1.9395,1.7522,0.0014818,0.18586
TOI-4791 b,1.0949,2.8658,2.6946,2.0159,0.17125,0.84986
TOI-5076 b,0.50515,1.2041,1.2569,1.0147,0.052802,0.18943
TOI-5398 b,1.0128,1.7686,2.3767,1.8766,0.60811,0.108
TOI-5398 c,0.54654,1.0719,1.3174,1.085,0.24555,0.01308
TOI-5542 b,1.0535,2.6228,2.6099,1.9456,0.012872,0.67717
WASP-187 b,1.2644,2.4053,2.6116,4.6702,0.20636,2.2649
TOI-7041 b,1.0582,2.0585,2.6283,1.9536,0.56979,0.1049
TOI-6651 b,0.70672,1.7853,1.443,1.3569,0.34235,0.42842
TOI-6628 b,1.0408,2.3714,2.5515,1.9241,0.1801,0.44733
TOI-6324 b,0.024896,0.068186,0.076831,0.076831,0.0086455,0.0086455
TOI-6255 b,0.033021,0.15836,0.10595,0.10595,0.052407,0.052407
TOI-6130 b,1.1568,2.5234,2.582,4.548,0.058592,2.0246
TOI-6034 b,1.0763,2.4048,2.6785,1.9843,0.27369,0.42049
TOI-6029 b,1.1581,2.7157,2.5804,4.5495,0.13532,1.8338
TOI-6016 b,1.1359,2.5704,2.617,2.0856,0.046632,0.48477
TOI-6008 b,0.012837,0.60206,0.03361,0.03361,0.56845,0.56845
TOI-5786 b,0.93146,1.8633,1.9036,1.7385,0.040318,0.12485
TOI-5720 b,0.037426,0.63347,0.12174,0.12174,0.51172,0.51172
TOI-5678 b,0.69108,1.301,1.4319,1.3304,0.13091,0.029329
TOI-5616 b,1.0326,2.7952,2.507,1.9102,0.28823,0.88497
TOI-4641 b,0.91289,3.0899,1.8302,1.7069,1.2597,1.383
WASP-100 b,1.2774,2.8097,2.6254,4.6849,0.1843,1.8752
TOI-4633 c,0.50515,2.0899,1.2569,1.0147,0.83298,1.0752
TOI-4600 c,0.97405,3.4693,2.1205,1.8108,1.3488,1.6585
TOI-4010 c,0.77305,1.3077,1.5174,1.4695,0.20966,0.16182
TOI-4010 b,0.48001,1.0414,1.2184,0.972,0.17698,0.069394
TOI-3919 b,1.0906,3.091,2.6941,2.0086,0.39693,1.0824
TOI-3912 b,1.1547,2.1107,2.5845,2.1175,0.4738,0.0068289
TOI-3894 b,1.1825,2.4316,2.5664,4.5771,0.13476,2.1455
TOI-3884 b,0.77815,1.2175,1.5249,1.4782,0.30745,0.2607
TOI-4010 d,0.79099,1.5815,1.5451,1.5,0.036346,0.081514
TOI-3837 b,1.0363,2.273,2.5279,1.9165,0.25486,0.35651
TOI-3807 b,1.2671,2.5192,2.6143,4.6732,0.095066,2.1539
TOI-3785 b,0.71096,1.1746,1.4464,1.3641,0.27176,0.18947
TOI-3757 b,1.0792,1.9309,2.6834,1.9893,0.75246,0.058323
TOI-3714 b,1.047,2.3404,2.5815,1.9346,0.24112,0.40586
TOI-3693 b,1.1003,2.5108,2.6923,2.0252,0.18147,0.48561
TOI-3629 b,0.9188,1.9172,1.8522,1.717,0.064957,0.20019
TOI-3819 b,1.1185,2.5475,2.6614,2.056,0.11391,0.4915
TOI-406.01,0.31806,0.81757,1.0198,0.69705,0.20225,0.12051
TOI-4087 b,1.1155,2.3655,2.6689,2.051,0.30341,0.31455
TOI-4127 b,1.0894,2.8639,2.6936,2.0066,0.1703,0.85734
TOI-4600 b,0.83251,2.9822,1.622,1.5705,1.3602,1.4117
TOI-4582 b,1.0227,2.2265,2.4456,1.8934,0.21911,0.3331
TOI-4562 b,1.098,2.8645,2.6937,2.0211,0.17085,0.84337
TOI-4551 b,1.0741,2.6754,2.6742,1.9806,0.0011852,0.69482
TOI-4515 b,1.0853,2.8041,2.6908,1.9996,0.11331,0.80449
TOI-4504 c,1.0452,3.0782,2.5733,1.9316,0.5049,1.1466
Kepler-4 b,0.61541,1.3773,1.3895,1.2019,0.012256,0.17536
TOI-4438 b,0.4014,0.73239,1.1225,0.83854,0.39011,0.10615
TOI-4406 b,1.0496,1.9793,2.5933,1.939,0.61403,0.040322
TOI-4379 b,1.2225,2.5487,2.5794,4.6225,0.03075,2.0739
TOI-4377 b,1.1793,2.4831,2.5667,4.5735,0.083557,2.0904
TOI-4329 b,1.2257,2.1554,2.5812,4.6262,0.42583,2.4708
TOI-4201 b,1.1359,2.8966,2.617,2.0856,0.27963,0.81103
TOI-4153 b,1.2073,2.5629,2.5724,4.6054,0.0095103,2.0425
TOI-4137 b,1.1327,2.6606,2.6242,2.0802,0.036357,0.5804
