pl_name,pl_bmasse,pl_rade,pl_pubdate,pl_controv_flag,pl_bmasseerr1,pl_bmasseerr2,pl_radeerr1,pl_radeerr2,soltype,disc_refname,pl_refname
KELT-14 b,380.12468,17.03768,2016-06,0,22.88376,-22.88376,1.34508,-1.23299,Published Confirmed,<a refstr=RODRIGUEZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151..138R/abstract target=ref>Rodriguez et al. 2016</a>,<a refstr=RODRIGUEZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151..138R/abstract target=ref>Rodriguez et al. 2016</a>
Kepler-432 b,1547.77,12.554,2015-01,0,152.55,-152.55,0.404,-0.404,Published Confirmed,<a refstr=CICERI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...573L...5C/abstract target=ref>Ciceri et al. 2015</a>,<a refstr=CICERI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...573L...5C/abstract target=ref>Ciceri et al. 2015</a>
Kepler-78 b,1.77,1.228,2019-09,0,0.24,-0.25,0.018,-0.019,Published Confirmed,<a refstr=SANCHIS_OJEDA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...54S/abstract target=ref> Sanchis-Ojeda et al. 2013 </a>,<a refstr=DAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883...79D/abstract target=ref>Dai et al. 2019</a>
Kepler-78 b,1.68,1.201,2023-04,0,0.27,-0.27,0.028,-0.028,Published Confirmed,<a refstr=SANCHIS_OJEDA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...54S/abstract target=ref> Sanchis-Ojeda et al. 2013 </a>,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
HD 191939 b,9.6,3.39512346,2024-06,0,0.9,-0.9,0.07971402,-0.0940677,Published Confirmed,<a refstr=BADENAS_AGUSTI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..113B/abstract target=ref>Badenas-Agusti et al. 2020</a>,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>
HD 209458 b,216.76006,15.233031,2017-06,0,4.44962,-4.76745,0.179344,-0.212971,Published Confirmed,<a refstr=HENRY_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...529L..41H/abstract target=ref> Henry et al. 2000 </a>,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
HD 219134 c,4.36,1.511,2017-03,0,0.22,-0.22,0.047,-0.047,Published Confirmed,<a refstr=MOTALEBI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...584A..72M/abstract target=ref>Motalebi et al. 2015</a>,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>
L 168-9 b,4.6,1.39,2020-04,0,0.56,-0.56,0.09,-0.09,Published Confirmed,<a refstr=ASTUDILLO_DEFRU_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..58A/abstract target=ref>Astudillo-Defru et al. 2020</a>,<a refstr=ASTUDILLO_DEFRU_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..58A/abstract target=ref>Astudillo-Defru et al. 2020</a>
TOI-1853 b,73.2,3.46,2023-09,0,2.7,-2.7,0.08,-0.08,Published Confirmed,<a refstr=NAPONIELLO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230901464N/abstract target=ref>Naponiello et al. 2023</a>,<a refstr=NAPONIELLO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230901464N/abstract target=ref>Naponiello et al. 2023</a>
TOI-2025 b,1398.4449908,12.52043144,2022-04,0,95.3485221,-95.3485221,0.10088083,-0.10088083,Published Confirmed,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220413956K/abstract target=ref>Knudstrup et al. 2022</a>,<a refstr=KNUDSTRUP_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220413956K/abstract target=ref>Knudstrup et al. 2022</a>
TOI-2525 c,208.8132634,10.13291855,2023-02,0,9.85268062,-10.17050902,0.11208981,-0.11208981,Published Confirmed,<a refstr=TRIFONOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205694T/abstract target=ref>Trifonov et al. 2023</a>,<a refstr=TRIFONOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205694T/abstract target=ref>Trifonov et al. 2023</a>
TOI-2981 b,638.0,13.4,2024-09,0,33.0,-33.0,0.42,-0.42,Published Confirmed,<a refstr=MANTOVAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240907520M/abstract target=ref>Mantovan et al. 2024</a>,<a refstr=MANTOVAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240907520M/abstract target=ref>Mantovan et al. 2024</a>
NGTS-33 b,1153.71711741,18.38272835,2024-11,0,85.81366989,-85.81366989,0.78462865,-0.78462865,Published Confirmed,<a refstr=ALVES_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.tmp.2511A/abstract target=ref>Alves et al. 2024</a>,<a refstr=ALVES_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.tmp.2511A/abstract target=ref>Alves et al. 2024</a>
